Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2016-06-01T13:31:00Z,GLD,115.94,859,Market On Close,Filled,99592.46,"Monthly rotation to GLD" 
2016-06-01T20:00:00Z,GLD,0,-859,Stop Market,Canceled,0,"Monthly stop reset" 
2016-07-01T13:31:00Z,GLD,128.41,-859,Market On Close,Filled,-110304.19,"Monthly rotation to SHY" 
2016-07-01T13:31:00Z,SHY,69.361026375,1569,Market On Close,Filled,108827.45038237,"Monthly rotation to SHY" 
2016-07-01T20:00:00Z,SHY,0,-1569,Stop Market,Canceled,0,"Monthly stop reset" 
2016-08-01T13:31:00Z,SHY,69.279687865,-1569,Market On Close,Filled,-108699.83026019,"Monthly rotation to TECL" 
2016-08-01T13:31:00Z,TECL,4.0689390399,27295,Market On Close,Filled,111061.69109407,"Monthly rotation to TECL" 
2016-08-01T20:00:00Z,TECL,0,-27295,Stop Market,Canceled,0,"Monthly stop reset" 
2016-09-01T13:31:00Z,TECL,4.2161076321,-27295,Market On Close,Filled,-115078.65781817,"Monthly rotation to TQQQ" 
2016-09-01T13:31:00Z,TQQQ,2.418698742569,47133,Market On Close,Filled,114000.5278335,"Monthly rotation to TQQQ" 
2016-09-01T20:00:00Z,TQQQ,0,-47133,Stop Market,Canceled,0,"Monthly stop reset" 
2016-10-03T13:31:00Z,TQQQ,2.5419319190006,-47133,Market On Close,Filled,-119808.87713826,"Monthly rotation to TECL" 
2016-10-03T13:31:00Z,TECL,4.3678184648,27310,Market On Close,Filled,119285.12227369,"Monthly rotation to TECL" 
2016-10-03T20:00:00Z,TECL,0,-27310,Stop Market,Canceled,0,"Monthly stop reset" 
2016-11-01T13:31:00Z,TECL,4.1861288448,-27310,Market On Close,Filled,-114323.17875149,"Monthly rotation to TQQQ" 
2016-11-01T13:31:00Z,TQQQ,2.3802626714633,48639,Market On Close,Filled,115773.5960773,"Monthly rotation to TQQQ" 
