date,qqq_close,cash,qqq_shares,open_spreads,equity
2013-01-02,67.2,32.399999999999636,183,0,12330.0
2013-01-03,66.8521,32.399999999999636,183,0,12266.334299999999
2013-01-04,66.63,35.25999999999962,181,1,12183.289999999999
2013-01-07,66.6504,35.25999999999962,181,1,12178.9824
2013-01-08,66.52,35.25999999999962,181,1,12139.38
2013-01-09,66.77,35.25999999999962,181,1,12192.63
2013-01-10,67.17,35.25999999999962,181,1,12289.03
2013-01-11,67.26,47.37999999999961,179,2,12286.92
2013-01-14,66.96,47.37999999999961,179,2,12161.219999999998
2013-01-15,66.63,47.37999999999961,179,2,12062.149999999998
2013-01-16,66.9,47.37999999999961,179,2,12110.48
2013-01-17,67.22,47.37999999999961,179,2,12207.759999999998
2013-01-18,67.07,6.189999999999543,176,3,12090.509999999998
2013-01-22,67.18,6.189999999999543,176,3,12069.869999999999
2013-01-23,67.59,6.189999999999543,176,3,12278.029999999999
2013-01-24,66.66,6.189999999999543,176,3,11834.349999999999
2013-01-25,67.0,66.98999999999955,172,2,11862.99
2013-01-28,67.15,66.98999999999955,172,2,11912.79
2013-01-29,67.16,66.98999999999955,172,2,11898.509999999998
2013-01-30,67.02,66.98999999999955,172,2,11850.429999999998
2013-01-31,66.87,0.1199999999995498,173,2,11784.63
2013-02-01,67.66,64.01999999999958,168,3,12014.9
2013-02-04,66.48,64.01999999999958,168,3,11416.660000000002
2013-02-05,67.46,64.01999999999958,168,3,11861.3
2013-02-06,67.24,64.01999999999958,168,3,11672.34
2013-02-07,67.3,64.01999999999958,168,3,11698.42
2013-02-08,67.99,65.58999999999955,165,4,12075.939999999999
2013-02-11,68.01,65.58999999999955,165,4,11991.240000000002
2013-02-12,67.73,65.58999999999955,165,4,11721.04
2013-02-13,67.97,65.58999999999955,165,4,11880.64
2013-02-14,67.95,65.58999999999955,165,4,11709.34
2013-02-15,67.75,4.289999999999537,163,4,11463.539999999999
2013-02-19,68.24,4.289999999999537,163,4,11695.409999999998
2013-02-20,67.19,4.289999999999537,163,4,11124.259999999998
2013-02-21,66.47,4.289999999999537,163,4,10894.9
2013-02-22,67.139,47.24599999999947,159,2,10994.346999999998
2013-02-25,66.31,47.24599999999947,159,2,10790.536
2013-02-26,66.56,47.24599999999947,159,2,10830.286
2013-02-27,67.239,47.24599999999947,159,2,11010.247
2013-02-28,67.1,47.24599999999947,159,2,10940.145999999999
2013-03-01,67.38,27.605999999999455,157,3,10942.266
2013-03-04,67.68,27.605999999999455,157,3,11029.366
2013-03-05,68.68,27.605999999999455,157,3,11610.366
2013-03-06,68.51,27.605999999999455,157,3,11471.676000000001
2013-03-07,68.69,27.605999999999455,157,3,11571.936
2013-03-08,68.77,2.745999999999441,155,4,11502.095999999998
2013-03-11,68.97,2.745999999999441,155,4,11629.096
2013-03-12,68.72,2.745999999999441,155,4,11382.346
2013-03-13,68.63,2.745999999999441,155,4,11264.395999999999
2013-03-14,68.86,2.745999999999441,155,4,11332.045999999998
2013-03-15,68.51,34.385999999999456,151,5,11067.395999999999
2013-03-18,68.36,34.385999999999456,151,5,10980.746
2013-03-19,68.23,34.385999999999456,151,5,10889.116
2013-03-20,68.709,34.385999999999456,151,5,11009.445
2013-03-21,67.93,34.385999999999456,151,5,10595.815999999999
2013-03-22,68.59,30.76599999999945,149,5,10882.676
2013-03-25,68.34,30.76599999999945,149,5,10573.426
2013-03-26,68.71,30.76599999999945,149,5,10716.555999999999
2013-03-27,68.801,30.76599999999945,149,5,10754.115
2013-03-28,68.97,14.475999999999402,146,4,10652.095999999998
2013-04-01,68.5,14.475999999999402,146,4,10295.475999999999
2013-04-02,69.04,14.475999999999402,146,4,10590.315999999999
2013-04-03,68.41,14.475999999999402,146,4,10258.335999999998
2013-04-04,68.43,14.475999999999402,146,4,10221.256
2013-04-05,67.861,26.858999999999412,143,3,9946.982
2013-04-08,68.22,26.858999999999412,143,3,10022.318999999998
2013-04-09,68.68,26.858999999999412,143,3,10208.099
2013-04-10,70.015,26.858999999999412,143,3,11151.003999999999
2013-04-11,69.99,26.858999999999412,143,3,11083.428999999998
2013-04-12,69.94,26.2789999999994,140,4,10937.878999999999
2013-04-15,68.56,26.2789999999994,140,4,10040.678999999998
2013-04-16,69.47,26.2789999999994,140,4,10504.078999999998
2013-04-17,68.115,26.2789999999994,140,4,9826.378999999997
2013-04-18,67.169,26.2789999999994,140,4,9453.938999999998
2013-04-19,68.09,53.12899999999951,135,2,9597.278999999999
2013-04-22,68.79,53.12899999999951,135,2,9851.779
2013-04-23,69.45,53.12899999999951,135,2,10196.878999999999
